Date, Tithi, Nakshatra, Skipped Tithi, Skipped Nakshatra, 
02/07/2014, Panchami - 08:48:34, Purva Phalguni - 29:18:31+,  ,  , 
03/07/2014, Shashthi - 10:24:01, Uttara Phalguni - Full Night,  ,  , 
04/07/2014, Saptami - 11:35:44, Uttara Phalguni - 07:14:00,  ,  , 
05/07/2014, Ashtami - 12:19:20, Hasta - 08:43:18,  ,  , 
06/07/2014, Navami - 12:32:52, Chitra - 09:42:43,  ,  , 
07/07/2014, Dashami - 12:15:38, Swati - 10:12:14,  ,  , 
08/07/2014, Ekadashi - 11:29:45, Vishakha - 10:13:07,  ,  , 
09/07/2014, Dwadashi - 10:16:59, Anuradha - 09:47:27,  ,  , 
10/07/2014, Trayodashi - 08:40:50, Jyeshtha - 08:58:14,  ,  , 
11/07/2014, Chaturdashi - 06:45:52, Mula - 07:50:13, Purnima - 28:35:37+,  , 
12/07/2014, Pratipada - 26:14:28+, Purva Ashadha - 06:26:53,  , Uttara Ashadha - 28:53:23+, 
13/07/2014, Dwitiya - 23:46:59, Shravana - 27:13:53+,  ,  , 
14/07/2014, Tritiya - 21:18:06, Dhanishtha - 25:33:51+,  ,  , 
15/07/2014, Chaturthi - 18:52:54, Shatabhisha - 23:58:46,  ,  , 
16/07/2014, Panchami - 16:36:30, Purva Bhadrapada - 22:32:48,  ,  , 
17/07/2014, Shashthi - 14:32:34, Uttara Bhadrapada - 21:21:05,  ,  , 
18/07/2014, Saptami - 12:45:31, Revati - 20:27:29,  ,  , 
19/07/2014, Ashtami - 11:20:06, Ashwini - 19:56:32,  ,  , 
20/07/2014, Navami - 10:19:38, Bharani - 19:51:05,  ,  , 
21/07/2014, Dashami - 09:46:24, Krittika - 20:14:39,  ,  , 
22/07/2014, Ekadashi - 09:43:46, Rohini - 21:07:44,  ,  , 
23/07/2014, Dwadashi - 10:11:22, Mrigashirsha - 22:30:31,  ,  , 
24/07/2014, Trayodashi - 11:09:12, Ardra - 24:21:05+,  ,  , 
25/07/2014, Chaturdashi - 12:32:31, Punarvasu - 26:34:20+,  ,  , 
26/07/2014, Amavasya - 14:16:35, Pushya - 29:03:34+,  ,  , 
27/07/2014, Pratipada - 16:14:10, Ashlesha - Full Night,  ,  , 
28/07/2014, Dwitiya - 18:15:17, Ashlesha - 07:40:33,  ,  , 
29/07/2014, Tritiya - 20:08:29, Magha - 10:14:31,  ,  , 
30/07/2014, Chaturthi - 21:46:13, Purva Phalguni - 12:35:51,  ,  , 
31/07/2014, Panchami - 23:00:24, Uttara Phalguni - 14:36:37,  ,  , 
01/08/2014, Shashthi - 23:46:59, Hasta - 16:12:25,  ,  , 
02/08/2014, Saptami - 24:03:20+, Chitra - 17:19:02,  ,  , 
03/08/2014, Ashtami - 23:49:16, Swati - 17:55:26,  ,  , 
04/08/2014, Navami - 23:05:51, Vishakha - 18:02:48,  ,  , 
05/08/2014, Dashami - 21:56:04, Anuradha - 17:42:46,  ,  , 
06/08/2014, Ekadashi - 20:22:01, Jyeshtha - 16:58:39,  ,  , 
07/08/2014, Dwadashi - 18:29:00, Mula - 15:54:29,  ,  , 
08/08/2014, Trayodashi - 16:20:20, Purva Ashadha - 14:34:20,  ,  , 
09/08/2014, Chaturdashi - 14:00:35, Uttara Ashadha - 13:02:45,  ,  , 
10/08/2014, Purnima - 11:34:09, Shravana - 11:24:18,  ,  , 
11/08/2014, Pratipada - 09:05:58, Dhanishtha - 09:43:46,  ,  , 
12/08/2014, Dwitiya - 06:41:18, Shatabhisha - 08:07:05, Tritiya - 28:24:43+,  , 
13/08/2014, Chaturthi - 26:20:48+, Purva Bhadrapada - 06:38:40,  , Uttara Bhadrapada - 29:23:05+, 
14/08/2014, Panchami - 24:33:34+, Revati - 28:25:15+,  ,  , 
15/08/2014, Shashthi - 23:07:16, Ashwini - 27:48:41+,  ,  , 
16/08/2014, Saptami - 22:06:05, Bharani - 27:37:05+,  ,  , 
17/08/2014, Ashtami - 21:32:20, Krittika - 27:53:47+,  ,  , 
18/08/2014, Navami - 21:28:39, Rohini - 28:40:01+,  ,  , 
19/08/2014, Dashami - 21:55:43, Mrigashirsha - 29:56:08+,  ,  , 
20/08/2014, Ekadashi - 22:52:51, Ardra - Full Night,  ,  , 
21/08/2014, Dwadashi - 24:15:59+, Ardra - 07:40:32,  ,  , 
22/08/2014, Trayodashi - 26:00:45+, Punarvasu - 09:49:02,  ,  , 
23/08/2014, Chaturdashi - 27:59:14+, Pushya - 12:15:07,  ,  , 
24/08/2014, Amavasya - Full Night, Ashlesha - 14:51:23,  ,  , 
25/08/2014, Amavasya - 06:01:56, Magha - 17:27:08,  ,  , 
26/08/2014, Pratipada - 07:57:36, Purva Phalguni - 19:51:58,  ,  , 
27/08/2014, Dwitiya - 09:37:58, Uttara Phalguni - 21:58:21,  ,  , 
28/08/2014, Tritiya - 10:54:57, Hasta - 23:40:08,  ,  , 
29/08/2014, Chaturthi - 11:45:03, Chitra - 24:53:26+,  ,  , 
30/08/2014, Panchami - 12:04:34, Swati - 25:36:51+,  ,  , 
31/08/2014, Shashthi - 11:53:40, Vishakha - 25:50:33+,  ,  , 
01/09/2014, Saptami - 11:13:04, Anuradha - 25:36:30+,  ,  , 
02/09/2014, Ashtami - 10:05:44, Jyeshtha - 24:58:00+,  ,  , 
03/09/2014, Navami - 08:34:30, Mula - 23:57:53,  ,  , 
04/09/2014, Dashami - 06:43:35, Purva Ashadha - 22:41:04, Ekadashi - 28:36:51+,  , 
05/09/2014, Dwadashi - 26:18:52+, Uttara Ashadha - 21:11:46,  ,  , 
06/09/2014, Trayodashi - 23:54:01, Shravana - 19:34:23,  ,  , 
07/09/2014, Chaturdashi - 21:27:04, Dhanishtha - 17:54:01,  ,  , 
08/09/2014, Purnima - 19:03:27, Shatabhisha - 16:15:46,  ,  , 
09/09/2014, Pratipada - 16:47:55, Purva Bhadrapada - 14:45:03,  ,  , 
10/09/2014, Dwitiya - 14:44:53, Uttara Bhadrapada - 13:26:29,  ,  , 
11/09/2014, Tritiya - 12:58:32, Revati - 12:24:05,  ,  , 
12/09/2014, Chaturthi - 11:32:34, Ashwini - 11:41:54,  ,  , 
13/09/2014, Panchami - 10:32:06, Bharani - 11:24:40,  ,  , 
14/09/2014, Shashthi - 09:59:03, Krittika - 11:34:30,  ,  , 
15/09/2014, Saptami - 09:55:54, Rohini - 12:14:03,  ,  , 
16/09/2014, Ashtami - 10:23:50, Mrigashirsha - 13:23:08,  ,  , 
17/09/2014, Navami - 11:21:51, Ardra - 15:01:24,  ,  , 
18/09/2014, Dashami - 12:46:24, Punarvasu - 17:04:48,  ,  , 
19/09/2014, Ekadashi - 14:33:06, Pushya - 19:27:32,  ,  , 
20/09/2014, Dwadashi - 16:33:20, Ashlesha - 22:02:14,  ,  , 
21/09/2014, Trayodashi - 18:38:08, Magha - 24:39:11+,  ,  , 
22/09/2014, Chaturdashi - 20:36:37, Purva Phalguni - 27:07:12+,  ,  , 
23/09/2014, Amavasya - 22:19:16, Uttara Phalguni - 29:18:20+,  ,  , 
24/09/2014, Pratipada - 23:39:15, Hasta - Full Night,  ,  , 
25/09/2014, Dwitiya - 24:32:10+, Hasta - 07:06:06,  ,  , 
26/09/2014, Tritiya - 24:54:08+, Chitra - 08:26:25,  ,  , 
27/09/2014, Chaturthi - 24:45:52+, Swati - 09:16:42,  ,  , 
28/09/2014, Panchami - 24:07:23+, Vishakha - 09:37:05,  ,  , 
29/09/2014, Shashthi - 23:02:41, Anuradha - 09:29:21,  ,  , 
30/09/2014, Saptami - 21:33:34, Jyeshtha - 08:55:57,  ,  , 
01/10/2014, Ashtami - 19:44:25, Mula - 08:00:24,  ,  , 
02/10/2014, Navami - 17:39:26, Purva Ashadha - 06:47:17,  , Uttara Ashadha - 29:20:27+, 
03/10/2014, Dashami - 15:23:23, Shravana - 27:44:28+,  ,  , 
04/10/2014, Ekadashi - 13:00:17, Dhanishtha - 26:04:06+,  ,  , 
05/10/2014, Dwadashi - 10:34:55, Shatabhisha - 24:24:57+,  ,  , 
06/10/2014, Trayodashi - 08:12:53, Purva Bhadrapada - 22:52:19, Chaturdashi - 29:58:46+,  , 
07/10/2014, Purnima - 27:57:29+, Uttara Bhadrapada - 21:30:24,  ,  , 
08/10/2014, Pratipada - 26:12:42+, Revati - 20:23:47,  ,  , 
09/10/2014, Dwitiya - 24:48:31+, Ashwini - 19:36:40,  ,  , 
10/10/2014, Tritiya - 23:49:58, Bharani - 19:13:39,  ,  , 
11/10/2014, Chaturthi - 23:18:52, Krittika - 19:16:49,  ,  , 
12/10/2014, Panchami - 23:17:59, Rohini - 19:49:30,  ,  , 
13/10/2014, Shashthi - 23:48:02, Mrigashirsha - 20:51:44,  ,  , 
14/10/2014, Saptami - 24:48:31+, Ardra - 22:23:29,  ,  , 
15/10/2014, Ashtami - 26:15:21+, Punarvasu - 24:21:26+,  ,  , 
16/10/2014, Navami - 28:04:30+, Pushya - 26:40:29+,  ,  , 
17/10/2014, Dashami - 30:07:12+, Ashlesha - 29:13:14+,  ,  , 
18/10/2014, Ekadashi - Full Night, Magha - Full Night,  ,  , 
19/10/2014, Ekadashi - 08:14:38, Magha - 07:50:33,  ,  , 
20/10/2014, Dwadashi - 10:15:14, Purva Phalguni - 10:21:23,  ,  , 
21/10/2014, Trayodashi - 12:00:00, Uttara Phalguni - 12:37:16,  ,  , 
22/10/2014, Chaturdashi - 13:21:55, Hasta - 14:30:49,  ,  , 
23/10/2014, Amavasya - 14:16:24, Chitra - 15:57:28,  ,  , 
24/10/2014, Pratipada - 14:39:57, Swati - 16:55:08,  ,  , 
25/10/2014, Dwitiya - 14:32:56, Vishakha - 17:22:01,  ,  , 
26/10/2014, Tritiya - 13:56:11, Anuradha - 17:20:47,  ,  , 
27/10/2014, Chaturthi - 12:52:44, Jyeshtha - 16:52:51,  ,  , 
28/10/2014, Panchami - 11:24:50, Mula - 16:02:03,  ,  , 
29/10/2014, Shashthi - 09:36:44, Purva Ashadha - 14:52:37,  ,  , 
30/10/2014, Saptami - 07:33:20, Uttara Ashadha - 13:28:25, Ashtami - 29:18:41+,  , 
31/10/2014, Navami - 26:56:50+, Shravana - 11:54:22,  ,  , 
01/11/2014, Dashami - 24:33:13+, Dhanishtha - 10:14:32,  ,  , 
02/11/2014, Ekadashi - 22:12:56, Shatabhisha - 08:34:41,  ,  , 
03/11/2014, Dwadashi - 20:00:56, Purva Bhadrapada - 07:00:07,  , Uttara Bhadrapada - 29:35:12+, 
04/11/2014, Trayodashi - 18:01:45, Revati - 28:24:43+,  ,  , 
05/11/2014, Chaturdashi - 16:19:16, Ashwini - 27:32:52+,  ,  , 
06/11/2014, Purnima - 14:57:53, Bharani - 27:03:41+,  ,  , 
07/11/2014, Pratipada - 14:01:59, Krittika - 27:00:52+,  ,  , 
08/11/2014, Dwitiya - 13:33:52, Rohini - 27:26:22+,  ,  , 
09/11/2014, Tritiya - 13:36:09, Mrigashirsha - 28:21:54+,  ,  , 
10/11/2014, Chaturthi - 14:09:33, Ardra - 29:46:59+,  ,  , 
11/11/2014, Panchami - 15:13:21, Punarvasu - Full Night,  ,  , 
12/11/2014, Shashthi - 16:43:21, Punarvasu - 07:39:18,  ,  , 
13/11/2014, Saptami - 18:35:20, Pushya - 09:54:08,  ,  , 
14/11/2014, Ashtami - 20:40:50, Ashlesha - 12:24:26,  ,  , 
15/11/2014, Navami - 22:50:23, Magha - 15:01:35,  ,  , 
16/11/2014, Dashami - 24:52:12+, Purva Phalguni - 17:34:52,  ,  , 
17/11/2014, Ekadashi - 26:38:22+, Uttara Phalguni - 19:54:58,  ,  , 
18/11/2014, Dwadashi - 28:01:00+, Hasta - 21:53:58,  ,  , 
19/11/2014, Trayodashi - 28:55:29+, Chitra - 23:27:29,  ,  , 
20/11/2014, Chaturdashi - 29:19:23+, Swati - 24:31:28+,  ,  , 
21/11/2014, Amavasya - 29:12:11+, Vishakha - 25:05:44+,  ,  , 
22/11/2014, Pratipada - 28:35:37+, Anuradha - 25:10:29+,  ,  , 
23/11/2014, Dwitiya - 27:31:59+, Jyeshtha - 24:48:41+,  ,  , 
24/11/2014, Tritiya - 26:03:55+, Mula - 24:02:59+,  ,  , 
25/11/2014, Chaturthi - 24:16:31+, Purva Ashadha - 22:57:14,  ,  , 
26/11/2014, Panchami - 22:13:39, Uttara Ashadha - 21:36:02,  ,  , 
27/11/2014, Shashthi - 19:59:42, Shravana - 20:03:45,  ,  , 
28/11/2014, Saptami - 17:39:05, Dhanishtha - 18:24:58,  ,  , 
29/11/2014, Ashtami - 15:16:31, Shatabhisha - 16:44:35,  ,  , 
30/11/2014, Navami - 12:58:11, Purva Bhadrapada - 15:08:26,  ,  , 
01/12/2014, Dashami - 10:48:16, Uttara Bhadrapada - 13:40:43,  ,  , 
02/12/2014, Ekadashi - 08:51:02, Revati - 12:26:43, Dwadashi - 31:11:11+,  , 
03/12/2014, Trayodashi - 29:52:58+, Ashwini - 11:30:07,  ,  , 
04/12/2014, Chaturdashi - 29:00:14+, Bharani - 10:55:08,  ,  , 
05/12/2014, Purnima - 28:35:16+, Krittika - 10:46:10,  ,  , 
06/12/2014, Pratipada - 28:41:25+, Rohini - 11:04:48,  ,  , 
07/12/2014, Dwitiya - 29:18:31+, Mrigashirsha - 11:53:40,  ,  , 
08/12/2014, Tritiya - 30:25:50+, Ardra - 13:12:04,  ,  , 
09/12/2014, Chaturthi - Full Night, Punarvasu - 14:58:25,  ,  , 
10/12/2014, Chaturthi - 07:59:21, Pushya - 17:08:29,  ,  , 
11/12/2014, Panchami - 09:54:08, Ashlesha - 19:35:58,  ,  , 
12/12/2014, Shashthi - 12:01:45, Magha - 22:12:35,  ,  , 
13/12/2014, Saptami - 14:12:32, Purva Phalguni - 24:47:38+,  ,  , 
14/12/2014, Ashtami - 16:14:53, Uttara Phalguni - 27:11:25+,  ,  , 
15/12/2014, Navami - 18:00:31, Hasta - 29:16:03+,  ,  , 
16/12/2014, Dashami - 19:22:37, Chitra - 30:55:32+,  ,  , 
17/12/2014, Ekadashi - 20:15:31, Swati - Full Night,  ,  , 
18/12/2014, Dwadashi - 20:38:12, Swati - 08:06:33,  ,  , 
19/12/2014, Trayodashi - 20:29:25, Vishakha - 08:47:42,  ,  , 
20/12/2014, Chaturdashi - 19:51:26, Anuradha - 08:58:56,  ,  , 
21/12/2014, Amavasya - 18:46:14, Jyeshtha - 08:43:18,  ,  , 
22/12/2014, Pratipada - 17:17:27, Mula - 08:02:31,  , Purva Ashadha - 31:00:59+, 
23/12/2014, Dwitiya - 15:29:32, Uttara Ashadha - 29:43:07+,  ,  , 
24/12/2014, Tritiya - 13:26:07, Shravana - 28:12:57+,  ,  , 
25/12/2014, Chaturthi - 11:12:00, Dhanishtha - 26:35:12+,  ,  , 
26/12/2014, Panchami - 08:51:44, Shatabhisha - 24:54:40+, Shashthi - 30:30:03+,  , 
27/12/2014, Saptami - 28:12:46+, Purva Bhadrapada - 23:16:56,  ,  , 
28/12/2014, Ashtami - 26:04:16+, Uttara Bhadrapada - 21:46:56,  ,  , 
29/12/2014, Navami - 24:09:08+, Revati - 20:29:35,  ,  , 
30/12/2014, Dashami - 22:31:45, Ashwini - 19:28:35,  ,  , 
31/12/2014, Ekadashi - 21:16:20, Bharani - 18:48:20,  ,  , 